Date : 2022-03-23 23:43:06
Directory : /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts
Total : 138 files,  3368 codes, 4 comments, 644 blanks, all 4016 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        138 |      3,368 |          4 |        644 |      4,016 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/GameWindowView.cs                             | C#       |         30 |          0 |          6 |         36 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/Interface/IGameWindowController.cs            | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/Interface/IGameWindowEventReceiver.cs         | C#       |          7 |          0 |          0 |          7 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/Interface/IGameWindowPresenter.cs             | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/GameWindow/Interface/IGameWindowView.cs                  | C#       |          9 |          0 |          2 |         11 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Interface/IWindowController.cs                           | C#       |          9 |          0 |          1 |         10 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Interface/IWindowPresenter.cs                            | C#       |         10 |          0 |          2 |         12 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/Interface/IWindowView.cs                                 | C#       |          8 |          0 |          0 |          8 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/Interface/IMainWindowController.cs            | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/Interface/IMainWindowEventReceiver.cs         | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/Interface/IMainWindowPresenter.cs             | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/Interface/IMainWindowView.cs                  | C#       |          8 |          0 |          1 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/MainWindowController.cs                       | C#       |         24 |          0 |          5 |         29 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/MainWindowFactory.cs                          | C#       |         30 |          0 |          5 |         35 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/MainWindowPresenter.cs                        | C#       |         47 |          0 |         10 |         57 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/MainWindow/MainWindowView.cs                             | C#       |         26 |          0 |          5 |         31 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/Interface/ISettingsWindowController.cs    | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/Interface/ISettingsWindowEventReceiver.cs | C#       |         12 |          0 |          3 |         15 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/Interface/ISettingsWindowPresenter.cs     | C#       |          7 |          0 |          2 |          9 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/Interface/ISettingsWindowView.cs          | C#       |          9 |          0 |          2 |         11 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/SettingsUserDataController.cs             | C#       |         53 |          0 |         12 |         65 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/SettingsWindowController.cs               | C#       |         24 |          0 |          5 |         29 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/SettingsWindowFactory.cs                  | C#       |         38 |          0 |          5 |         43 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/SettingsWindowPresenter.cs                | C#       |         64 |          0 |         13 |         77 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/SettingsWindow/SettingsWindowView.cs                     | C#       |         39 |          0 |         10 |         49 |
| /Users/airat/Documents/DontAskAboutThisShit/Assets/Scripts/Window/WindowManager.cs                                         | C#       |         68 |          0 |          8 |         76 |
| Total                                                                                                                      |          |      3,368 |          4 |        644 |      4,016 |
+----------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
